FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,TAIL_NUM,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 32
2017-01-18,AA,19805,N3MCAA,1457,14100,1410002,34100,PHL,"Philadelphia, PA",13930,1393004,30977,ORD,"Chicago, IL",605,554.0,-11.0,26.0,620.0,701.0,10.0,737,711.0,-26.0,0.0,,,,,,,
2017-01-01,WN,19393,N8306H,222,10397,1039705,30397,ATL,"Atlanta, GA",14107,1410702,30466,PHX,"Phoenix, AZ",1010,1011.0,1.0,15.0,1026.0,1212.0,6.0,1235,1218.0,-17.0,0.0,,,,,,,
2017-01-27,WN,19393,N284WN,354,14893,1489302,33192,SMF,"Sacramento, CA",13891,1389101,32575,ONT,"Ontario, CA",915,1028.0,73.0,7.0,1035.0,1137.0,4.0,1030,1141.0,71.0,0.0,,0.0,0.0,71.0,0.0,0.0,
2017-01-25,EV,20366,N716EV,5219,13485,1348502,33485,MSN,"Madison, WI",11433,1143302,31295,DTW,"Detroit, MI",1644,,,,,,,1905,,,1.0,A,,,,,,
2017-01-01,B6,20409,N587JB,805,11618,1161802,31703,EWR,"Newark, NJ",11697,1169704,32467,FLL,"Fort Lauderdale, FL",1100,1159.0,59.0,11.0,1210.0,1438.0,4.0,1406,1442.0,36.0,0.0,,7.0,0.0,0.0,0.0,29.0,
2017-01-08,DL,19790,N365NB,474,10397,1039705,30397,ATL,"Atlanta, GA",11996,1199603,31871,GSP,"Greer, SC",1900,1928.0,28.0,17.0,1945.0,2018.0,5.0,1953,2023.0,30.0,0.0,,9.0,0.0,2.0,0.0,19.0,
2017-01-20,EV,20366,N11544,4024,11637,1163703,31637,FAR,"Fargo, ND",13930,1393004,30977,ORD,"Chicago, IL",730,745.0,15.0,14.0,759.0,924.0,13.0,937,937.0,0.0,0.0,,,,,,,
2017-01-28,AA,19805,N4XDAA,306,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",12339,1233904,32337,IND,"Indianapolis, IN",715,708.0,-7.0,14.0,722.0,1009.0,5.0,1021,1014.0,-7.0,0.0,,,,,,,
2017-01-17,WN,19393,N777QC,175,11884,1188402,31884,GEG,"Spokane, WA",13796,1379604,32457,OAK,"Oakland, CA",800,802.0,2.0,11.0,813.0,1004.0,6.0,1010,1010.0,0.0,0.0,,,,,,,
2017-01-14,DL,19790,N987DN,1314,10397,1039705,30397,ATL,"Atlanta, GA",11995,1199502,31995,GSO,"Greensboro/High Point, NC",2234,2233.0,-1.0,12.0,2245.0,2332.0,5.0,2345,2337.0,-8.0,0.0,,,,,,,
2017-01-27,EV,20366,N27152,4438,12177,1217703,32177,HOB,"Hobbs, NM",12266,1226603,31453,IAH,"Houston, TX",645,633.0,-12.0,18.0,651.0,854.0,21.0,929,915.0,-14.0,0.0,,,,,,,
2017-01-28,WN,19393,N645SW,5659,13204,1320402,31454,MCO,"Orlando, FL",15016,1501603,31123,STL,"St. Louis, MO",1250,1304.0,14.0,10.0,1314.0,1430.0,4.0,1425,1434.0,9.0,0.0,,,,,,,
2017-01-13,WN,19393,N772SW,4072,10800,1080003,32575,BUR,"Burbank, CA",12889,1288903,32211,LAS,"Las Vegas, NV",1635,1632.0,-3.0,19.0,1651.0,1732.0,8.0,1735,1740.0,5.0,0.0,,,,,,,
2017-01-17,OO,20304,N453SW,4543,15096,1509602,35096,SYR,"Syracuse, NY",11433,1143302,31295,DTW,"Detroit, MI",1406,1351.0,-15.0,13.0,1404.0,1509.0,8.0,1550,1517.0,-33.0,0.0,,,,,,,
2017-01-10,WN,19393,N8692F,323,12191,1219102,31453,HOU,"Houston, TX",11292,1129202,30325,DEN,"Denver, CO",2150,2154.0,4.0,9.0,2203.0,2310.0,5.0,2320,2315.0,-5.0,0.0,,,,,,,
2017-01-14,EV,20366,N855AS,5405,14814,1481402,30476,SHV,"Shreveport, LA",10397,1039705,30397,ATL,"Atlanta, GA",1555,1546.0,-9.0,10.0,1556.0,1815.0,5.0,1840,1820.0,-20.0,0.0,,,,,,,
2017-01-30,AA,19805,N655AA,677,12889,1288903,32211,LAS,"Las Vegas, NV",14100,1410002,34100,PHL,"Philadelphia, PA",900,854.0,-6.0,19.0,913.0,1625.0,5.0,1638,1630.0,-8.0,0.0,,,,,,,
2017-01-03,DL,19790,N363NW,2588,13487,1348702,31650,MSP,"Minneapolis, MN",10721,1072102,30721,BOS,"Boston, MA",1525,1522.0,-3.0,16.0,1538.0,1911.0,11.0,1910,1922.0,12.0,0.0,,,,,,,
2017-01-12,B6,20409,N705JB,512,10423,1042302,30423,AUS,"Austin, TX",11697,1169704,32467,FLL,"Fort Lauderdale, FL",1100,1051.0,-9.0,8.0,1059.0,1419.0,4.0,1431,1423.0,-8.0,0.0,,,,,,,
